open,high,low,close,volume,symbol,datetime_est,momentum_signal,mean_reversion_signal,breakout_signal,reversal_signal,vwap_trend_signal,ema_12_26_signal,scalping_signal,heikin_ashi_signal,market_regime_ADX,market_regime_MA,volatility
5365500000000,5367500000000,5365000000000,5367250000000,2271,ESM4,2024-06-07 14:40:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,6228964600.609486
5367250000000,5367500000000,5365250000000,5366500000000,1713,ESM4,2024-06-07 14:41:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,5770177596.105738
5366250000000,5367250000000,5366000000000,5366750000000,1358,ESM4,2024-06-07 14:42:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,5224928107.92929
5366750000000,5368750000000,5366250000000,5368750000000,1620,ESM4,2024-06-07 14:43:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,4711567003.8770895
5368500000000,5370000000000,5368000000000,5370000000000,2402,ESM4,2024-06-07 14:44:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,4443969355.432757
5370000000000,5370250000000,5368500000000,5370000000000,2339,ESM4,2024-06-07 14:45:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,4471945376.478436
5370000000000,5370250000000,5368500000000,5369500000000,2167,ESM4,2024-06-07 14:46:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,4489515001.106031
5369250000000,5371000000000,5368750000000,5370250000000,2289,ESM4,2024-06-07 14:47:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,4543525474.016191
5370500000000,5370750000000,5368500000000,5370000000000,2253,ESM4,2024-06-07 14:48:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,4654115968.710259
5370000000000,5370500000000,5367750000000,5368500000000,1896,ESM4,2024-06-07 14:49:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,4731709868.375782
5368500000000,5369750000000,5366750000000,5367000000000,2115,ESM4,2024-06-07 14:50:00,BUY,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,4777254346.019596
5367250000000,5367500000000,5365000000000,5366250000000,3529,ESM4,2024-06-07 14:51:00,HOLD,HOLD,BUY,HOLD,HOLD,HOLD,BUY,SELL,range-bound,range-bound,4807191581.8639
5366250000000,5367750000000,5365250000000,5365750000000,2173,ESM4,2024-06-07 14:52:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,4827465089.212941
5365500000000,5369000000000,5365500000000,5368750000000,1573,ESM4,2024-06-07 14:53:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,4849906277.933223
5368750000000,5370250000000,5368500000000,5369750000000,2109,ESM4,2024-06-07 14:54:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,4923800679.04394
5369750000000,5370250000000,5368250000000,5369000000000,1761,ESM4,2024-06-07 14:55:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,BUY,range-bound,range-bound,4941271254.626403
5368750000000,5369500000000,5367500000000,5368750000000,1243,ESM4,2024-06-07 14:56:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,4907657384.713345
5368750000000,5369000000000,5367750000000,5368750000000,1426,ESM4,2024-06-07 14:57:00,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,SELL,range-bound,range-bound,4875288128.82478
